IME>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
13,09,2019 9:05:15;10428,19810326;11805,70591707;1807492,64490861;10434,92;263,9060895;3743546,81393933
13,09,2019 9:06:17;10428,3;11805,67693104;1807200,10450951;10437,86;263,91766036;3743695,40947482
13,09,2019 9:07:18;10428,3;11805,9241558;1809801,90217294;10435,94;263,5111636;3739333,00587301
13,09,2019 9:08:19;10431,94;11805,96680132;1810271,13739609;10443,57;263,54829002;3739819,74158754
13,09,2019 9:09:21;10434,51;11805,70947689;1807596,5542636;10442,74;263,74085393;3741833,07148643
13,09,2019 9:10:22;10436,18;11805,42478389;1804625,13493546;10440,75;263,14666215;3735605,70135175
13,09,2019 9:11:23;10438,68;11805,45900108;1804979,5778373;10443,57;263,69522281;3741352,79986963
13,09,2019 9:12:25;10441,62;11805,80299314;1808554,61989768;10444,57;263,86768739;3743167,21554492
13,09,2019 9:13:26;10440,25;11805,89614983;1809544,33618683;10444,57;263,09280276;3735148,7223381
13,09,2019 9:14:27;10443,81;11805,73237567;1807986,60388979;10464,21536872;263,29799064;3737757,7802632
13,09,2019 9:15:29;10452,87;11805,89266047;1809673,31114125;10483,02987587;263,29293914;3737713,28142056
13,09,2019 9:16:30;10467,76;11805,87566616;1809509,50941232;10483,22921845;263,6779587;3741854,62375628
13,09,2019 9:17:32;10473,9;11805,7461699;1808156,5880569;10483,22921845;263,53655794;3740379,77441807
