<DATEandTIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
0.5;0.488;0.487000;0.478000;0.488
0.5;0.491;0.497999;0.506;0.506999
0.5;0.506999;0.504000;0.494;0.480000
0.5;0.480000;0.476999;0.470999;0.466999
0.5;0.467999;0.469000;0.484000;0.494
0.5;0.493000;0.494999;0.466999;0.466000
0.5;0.464999;0.469000;0.491;0.503
0.5;0.504000;0.512999;0.491;0.480999
0.5;0.480999;0.496000;0.504000;0.512
0.5;0.511000;0.494;0.503;0.514000
0.5;0.515000;0.500999;0.518000;0.500999
0.5;0.500999;0.512;0.501999;0.511000
0.5;0.511000;0.502000;0.499000;0.485999
0.5;0.485999;0.484000;0.485999;0.501000
0.5;0.501000;0.503999;0.514000;0.497
0.5;0.497;0.509999;0.497999;0.513999
