<bid_top>;<c>;<c2>;p
0.00623946;0.54747355;0.22042458;0.19426668
0.00757112;0.14797604;0.50648403;0.19475988
0.19868128;0.3018719;0.55343133;0.00522798
0.20050614;0.49497825;0.4008746;0.00525264
0.202331;0.46777782;0.3381134;0.00436488
0.20390926;0.47097525;0.30917537;0.00350178
0.20575878;0.5396798;0.30730742;0.00347712
0.20669588;0.49252853;0.32031277;0.00441421
0.20741104;0.41957748;0.3219791;0.00554858
0.2092359;0.4912662;0.3336177;0.0055979
0.21111009;0.4444566;0.32257208;0.00549924
0.21295962;0.501132;0.33235145;0.0055239
0.2148338;0.5162844;0.3315722;0.0970853
0.21660933;0.42929053;0.32637322;0.09740591
0.21848352;0.4667725;0.33494183;0.09750454
0.3119191;0.33425075;0.3998556;0.00589382
0.31401524;0.19549757;0.32391748;0.00379771
0.31598806;0.39848432;0.31234646;0.00182489
0.31781292;0.35406452;0.28424484;3E-08
0.31781295;0.4069407;0.2979638;0.00138098
0.31781295;0.46307382;0.32871866;0.0015043
0.31781295;0.11804402;0.23162566;0.00170162
0.31919393;0.20991147;0.21454939;0.00032064
0.31931725;0.30851275;0.2284474;0.00019735
0.31951457;0.31422603;0.22231798;3E-08
0.31951457;0.35737276;0.24460445;6E-08
0.3195146;0.34930223;0.23807177;6E-08
0.3195146;0.30802286;0.24868989;6E-08
0.31951463;0.56693673;1.0857608;7E-08
0.31951466;0.55778384;0.9598534;-0.00070551
0.31951466;0.49080056;0.71814;-0.00090736
0.3195147;0.50175935;0.6345235;-0.00268553
0.31880915;0.5213512;0.60112;-0.00198001
0.3186073;0.5073771;0.64720213;-0.00177818
0.31682917;0.6774373;0.4521295;-0.0002363
0.31682914;0.5661898;0.48619574;-0.00109834
0.31682912;0.4937945;0.49252254;-0.00109832
0.31659287;0.48097765;0.49007392;0.16690937
0.3157308;0.48903537;0.44148147;0.1677714
0.3157308;0.46438122;0.50599545;-0.26111535
0.48350224;0.39967263;0.38069814;-0.34565309
0.4835022;0.39032203;0.3058652;-0.28845108
0.05461545;0.47645354;0.018106055;0.0659328
